run,model,spearman,rmse,path
20260121_092449_mlp_thermompnn_baseline,pair_aware_mlp,0.730894,0.720370,outputs/20260121_092449_mlp_thermompnn_baseline
20260121_153218_mpnn_thermompnn_splits,chai_mpnn,0.750762,0.703612,outputs/20260121_153218_mpnn_thermompnn_splits
20260121_154116_mlp_thermompnn_baseline,pair_aware_mlp,0.720185,0.713518,outputs/20260121_154116_mlp_thermompnn_baseline
20260122_014558_mpnn_thermompnn_splits_antisymmetric_test,chai_mpnn,0.744768,0.712075,outputs/20260122_014558_mpnn_thermompnn_splits_antisymmetric_test
20260122_014615_mpnn_thermompnn_splits_test,chai_mpnn,0.736936,0.700412,outputs/20260122_014615_mpnn_thermompnn_splits_test
20260122_054138_mpnn_antisym_scaled,chai_mpnn,0.768277,0.698238,outputs/20260122_054138_mpnn_antisym_scaled
20260123_161412_transformer_test,transformer,0.730229,0.731895,outputs/20260123_161412_transformer_test
20260123_174723_transformer_test_2,transformer,0.734950,0.724814,outputs/20260123_174723_transformer_test_2
20260123_180624_transformer_test_3,transformer,0.735340,0.723831,outputs/20260123_180624_transformer_test_3
20260123_194044_transformer_test_4,transformer,0.736806,0.715541,outputs/20260123_194044_transformer_test_4
20260123_201239_transformer_test_5,transformer,0.733799,0.732338,outputs/20260123_201239_transformer_test_5
20260124_084950_transformer_v2_rank,transformer_clean_v2,0.745640,0.700373,outputs/20260124_084950_transformer_v2_rank
20260124_103505_transformer_clean,transformer_clean,0.745509,0.709226,outputs/20260124_103505_transformer_clean
20260126_205313_mlp_5m,pair_aware_mlp,0.721808,0.717545,outputs/20260126_205313_mlp_5m
